ID,m00,m10,m01,cx,cy,mu20,mu02,mu11,Circularity,IsCircleLike
104,2.0000,1057.0000,22.0000,528.5000,11.0000,0.5000,0.0000,0.0000,1.2732,NO
105,120.0000,67643.0000,2232.0000,563.6917,18.6000,2321.5917,1974.8000,1199.2000,0.5334,NO
106,3.0000,2928.0000,33.0000,976.0000,11.0000,2.0000,0.0000,0.0000,0.7162,NO
107,10.0000,9908.0000,116.0000,990.8000,11.6000,15.6000,4.4000,-0.8000,0.7958,NO
108,17.0000,19124.0000,220.0000,1124.9412,12.9412,218.9412,30.9412,-79.0588,0.1841,NO
109,2.0000,2481.0000,22.0000,1240.5000,11.0000,0.5000,0.0000,0.0000,1.2732,NO
110,1.0000,1248.0000,11.0000,1248.0000,11.0000,0.0000,0.0000,0.0000,0.0000,NO
111,1.0000,442.0000,12.0000,442.0000,12.0000,0.0000,0.0000,0.0000,0.0000,NO
112,1.0000,559.0000,12.0000,559.0000,12.0000,0.0000,0.0000,0.0000,0.0000,NO
113,121.0000,70387.0000,1954.0000,581.7107,16.1488,5306.8760,461.3223,754.2066,0.4040,NO
114,2.0000,1913.0000,24.0000,956.5000,12.0000,0.5000,0.0000,0.0000,1.2732,NO
115,2.0000,1957.0000,24.0000,978.5000,12.0000,0.5000,0.0000,0.0000,1.2732,NO
116,1.0000,1237.0000,12.0000,1237.0000,12.0000,0.0000,0.0000,0.0000,0.0000,NO
117,1.0000,1247.0000,12.0000,1247.0000,12.0000,0.0000,0.0000,0.0000,0.0000,NO
118,64.0000,9703.0000,1110.0000,151.6094,17.3438,393.2344,676.4375,230.5938,0.6094,NO
119,2.0000,1302.0000,27.0000,651.0000,13.5000,0.0000,0.5000,0.0000,1.2732,NO
120,9.0000,8328.0000,126.0000,925.3333,14.0000,20.0000,6.0000,-9.0000,0.4958,NO
121,7.0000,6723.0000,96.0000,960.4286,13.7143,13.7143,1.4286,-2.1429,0.5150,NO
122,1.0000,994.0000,13.0000,994.0000,13.0000,0.0000,0.0000,0.0000,0.0000,NO
123,78.0000,83520.0000,1218.0000,1070.7692,15.6154,1385.8462,230.4615,-192.9231,0.5991,NO
124,37.0000,40149.0000,565.0000,1085.1081,15.2703,245.5676,53.2973,-15.0811,0.7290,NO
125,1.0000,1186.0000,13.0000,1186.0000,13.0000,0.0000,0.0000,0.0000,0.0000,NO
126,104.0000,124937.0000,1775.0000,1201.3173,17.0673,3228.5288,358.5288,-267.2212,0.4799,NO
127,2.0000,2487.0000,26.0000,1243.5000,13.0000,0.5000,0.0000,0.0000,1.2732,NO
128,18.0000,12744.0000,297.0000,708.0000,16.5000,60.0000,22.5000,-9.0000,0.6250,NO
129,1.0000,789.0000,14.0000,789.0000,14.0000,0.0000,0.0000,0.0000,0.0000,NO
130,15.0000,14793.0000,235.0000,986.2000,15.6667,84.4000,13.3333,-24.0000,0.3664,NO
131,2.0000,2261.0000,28.0000,1130.5000,14.0000,0.5000,0.0000,0.0000,1.2732,NO
132,1.0000,1182.0000,14.0000,1182.0000,14.0000,0.0000,0.0000,0.0000,0.0000,NO
133,1.0000,1216.0000,14.0000,1216.0000,14.0000,0.0000,0.0000,0.0000,0.0000,NO
134,1.0000,99.0000,15.0000,99.0000,15.0000,0.0000,0.0000,0.0000,0.0000,NO
135,1.0000,120.0000,15.0000,120.0000,15.0000,0.0000,0.0000,0.0000,0.0000,NO
136,23.0000,2985.0000,399.0000,129.7826,17.3478,161.9130,47.2174,68.7391,0.4026,NO
137,2.0000,471.0000,30.0000,235.5000,15.0000,0.5000,0.0000,0.0000,1.2732,NO
138,1.0000,593.0000,15.0000,593.0000,15.0000,0.0000,0.0000,0.0000,0.0000,NO
139,16.0000,9542.0000,265.0000,596.3750,16.5625,33.7500,23.9375,10.6250,0.7063,NO
140,6.0000,3873.0000,96.0000,645.5000,16.0000,1.5000,4.0000,0.0000,1.0417,NO
141,1.0000,951.0000,15.0000,951.0000,15.0000,0.0000,0.0000,0.0000,0.0000,NO
142,1.0000,981.0000,15.0000,981.0000,15.0000,0.0000,0.0000,0.0000,0.0000,NO
